id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-08-10T08:24:40;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-08-10T12:21:32;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-08-09T21:24:56;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-08-09T16:54:33;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-08-10T11:32:27;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-08-09T20:18:39;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-08-09T22:48:47;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-08-10T12:52:11;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-08-10T04:12:50;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-08-09T16:53:00;32637;8639
